fecha,tipo,precio,monto,asset,fiat,metodos_pago
2026-08-16T18:00:14.471827,SELL,869.99900000,83.94000000,USDT,VES,"Banesco, Pago Movil"
2026-08-16T18:00:14.120878,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T17:30:14.509548,SELL,860.00000000,99.75000000,USDT,VES,Pago Movil
2026-08-16T17:30:14.196810,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T17:00:14.362465,SELL,869.00000000,199.50000000,USDT,VES,Banesco
2026-08-16T17:00:14.073952,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T16:30:14.426769,SELL,870.00000000,39101.71000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-16T16:30:14.100699,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T16:00:14.413590,SELL,870.00000000,3.77000000,USDT,VES,BNC Banco Nacional de Crédito
2026-08-16T16:00:14.095820,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T15:30:14.552050,SELL,871.00000000,96.19000000,USDT,VES,Mercantil
2026-08-16T15:30:14.216253,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T15:00:14.367854,SELL,872.00000000,5000.24000000,USDT,VES,"Bank Transfer, Banco de Venezuela"
2026-08-16T15:00:14.079051,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T14:30:14.373968,SELL,870.00000000,259.35000000,USDT,VES,Mercantil
2026-08-16T14:30:14.055945,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T14:00:14.441147,SELL,872.00000000,99.80000000,USDT,VES,"Mercantil, Pago Movil"
2026-08-16T14:00:14.149465,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T13:30:14.388662,SELL,871.00000000,998.25000000,USDT,VES,Mercantil
2026-08-16T13:30:14.074898,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T13:00:14.425668,SELL,872.00000000,26.52000000,USDT,VES,Banco de Venezuela
2026-08-16T13:00:14.123411,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T12:30:14.337592,SELL,872.00000000,99.75000000,USDT,VES,Mercantil
2026-08-16T12:30:14.034753,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T12:00:14.436138,SELL,871.00000000,99.80000000,USDT,VES,"Pago Movil, BNC Banco Nacional de Crédito, Banesco"
2026-08-16T12:00:14.136745,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T11:30:14.516926,SELL,872.00000000,200.49000000,USDT,VES,Bank Transfer
2026-08-16T11:30:14.068253,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T11:00:14.328430,SELL,871.00000000,99.75000000,USDT,VES,"Mercantil, Pago Movil"
2026-08-16T11:00:14.026977,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T10:30:14.349592,SELL,873.00000000,827.93000000,USDT,VES,Banco de Venezuela
2026-08-16T10:30:14.039909,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T10:00:06.585154,SELL,873.60000000,630.42000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-16T10:00:06.200176,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-16T00:04:36.719998,SELL,873.93000000,1646.03000000,USDT,VES,Mercantil
2026-08-16T00:04:36.432877,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-15T23:34:36.863957,SELL,871.00000000,199.50000000,USDT,VES,"Pago Movil, Banco de Venezuela"
2026-08-15T23:34:36.565800,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-15T23:04:36.733621,SELL,873.65000000,8707.04000000,USDT,VES,"Bank Transfer, Banco de Venezuela"
2026-08-15T23:04:36.434868,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-15T22:34:36.759874,SELL,873.00000000,99.75000000,USDT,VES,Banco de Venezuela
2026-08-15T22:34:36.426210,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-15T22:04:36.751911,SELL,871.00000000,99.75000000,USDT,VES,Bancamiga
2026-08-15T22:04:36.420488,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-15T21:34:36.725251,SELL,871.40000000,897.75000000,USDT,VES,Banesco
2026-08-15T21:34:36.415329,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-15T21:06:50.383678,SELL,872.70000000,1225.40000000,USDT,VES,Banesco
2026-08-15T21:06:49.522305,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-15T20:04:37.556705,SELL,870.50000000,3206.65000000,USDT,VES,Banesco
2026-08-15T20:04:37.159307,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-15T18:34:37.425534,SELL,872.50000000,407.65000000,USDT,VES,Mercantil
2026-08-15T18:34:37.117577,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-15T18:04:37.386925,SELL,872.39900000,356.38000000,USDT,VES,Banesco
2026-08-15T18:04:37.094030,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-15T17:34:37.330705,SELL,872.49900000,8.96000000,USDT,VES,Banesco
2026-08-15T17:34:37.006681,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-15T17:04:37.314856,SELL,872.53500000,4473.87000000,USDT,VES,Banesco
2026-08-15T17:04:36.972678,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-15T16:34:37.303666,SELL,872.39900000,3049.45000000,USDT,VES,Banesco
2026-08-15T16:34:36.986587,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-15T16:04:37.492349,SELL,872.28800000,3005.97000000,USDT,VES,Banesco
2026-08-15T16:04:37.156192,BUY,892.00000000,26675.91000000,USDT,VES,Pago Movil
2026-08-15T15:34:37.279089,SELL,874.00000000,238.06000000,USDT,VES,Pago Movil
2026-08-15T15:34:36.971649,BUY,892.00000000,30000.00000000,USDT,VES,Pago Movil
2026-08-15T15:04:37.270334,SELL,874.00000000,1.89000000,USDT,VES,Banesco
2026-08-15T15:04:36.971984,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-15T14:34:37.395246,SELL,873.50000000,399.00000000,USDT,VES,Mercantil
2026-08-15T14:34:37.073396,BUY,876.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-15T14:04:37.298142,SELL,872.20000000,1.71000000,USDT,VES,BNC Banco Nacional de Crédito
2026-08-15T14:04:36.978215,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-15T13:34:37.270670,SELL,872.00000000,58.52000000,USDT,VES,Banesco
2026-08-15T13:34:36.976761,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-15T13:04:37.315691,SELL,872.94000000,6354.43000000,USDT,VES,Banesco
2026-08-15T13:04:37.012399,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-15T12:34:56.900154,SELL,874.90000000,2994.75000000,USDT,VES,Banesco
2026-08-15T12:34:56.589484,BUY,882.00000000,340.00000000,USDT,VES,Pago Movil
2026-08-15T12:31:30.199525,SELL,870.00000000,249.56000000,USDT,VES,"Bank Transfer, Bancamiga, Banco de Venezuela"
2026-08-15T12:31:29.805466,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-15T12:04:37.284008,SELL,875.80000000,1512.33000000,USDT,VES,Banesco
2026-08-15T12:04:36.957042,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-15T11:34:37.254051,SELL,875.00000000,99.75000000,USDT,VES,Pago Movil
2026-08-15T11:34:36.924506,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-15T11:04:37.330943,SELL,876.99000000,1.35000000,USDT,VES,Banesco
2026-08-15T11:04:37.004140,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-15T10:34:37.242255,SELL,876.00000000,2229.03000000,USDT,VES,Banesco
2026-08-15T10:34:36.937320,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-15T10:04:37.214944,SELL,876.98000000,1840.18000000,USDT,VES,Banesco
2026-08-15T10:04:36.903618,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-15T09:34:37.182984,SELL,879.49500000,3493.88000000,USDT,VES,"Bank Transfer, Banco de Venezuela"
2026-08-15T09:34:36.890921,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-15T09:04:37.274774,SELL,879.99500000,251.30000000,USDT,VES,"Mercantil, Provincial, Banco de Venezuela, Bancamiga, Banesco"
2026-08-15T09:04:36.964491,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-15T08:34:37.229861,SELL,879.00000000,51.63000000,USDT,VES,Pago Movil
2026-08-15T08:34:36.936947,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-15T08:04:27.395269,SELL,883.00000000,961.18000000,USDT,VES,Pago Movil
2026-08-15T08:04:27.028786,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-15T00:14:59.124069,SELL,882.50000000,15.98000000,USDT,VES,"Banesco, Mercantil"
2026-08-15T00:14:58.793183,BUY,881.50000000,17699.98000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-14T23:44:59.096846,SELL,882.19000000,649.37000000,USDT,VES,Pago Movil
2026-08-14T23:44:58.783489,BUY,881.11000000,11212.13000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-14T23:14:59.020473,SELL,882.75000000,3745.70000000,USDT,VES,BNC Banco Nacional de Crédito
2026-08-14T23:14:58.706893,BUY,882.05300000,61483.82000000,USDT,VES,"Bank Transfer, Banco de Venezuela"
2026-08-14T22:44:59.044381,SELL,882.00000000,1983.14000000,USDT,VES,Mercantil
2026-08-14T22:44:58.716529,BUY,882.00000000,80000.00000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-14T22:14:58.962407,SELL,882.00000000,1983.14000000,USDT,VES,Mercantil
2026-08-14T22:14:58.670375,BUY,882.00000000,80000.00000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-14T21:44:59.048304,SELL,880.00000000,1983.14000000,USDT,VES,Mercantil
2026-08-14T21:44:58.723846,BUY,890.00000000,96.38000000,USDT,VES,Bancamiga
2026-08-14T21:14:58.982782,SELL,879.00000000,798.00000000,USDT,VES,Banesco
2026-08-14T21:14:58.675936,BUY,882.00000000,79885.24000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-14T20:44:58.968047,SELL,880.00000000,1414.97000000,USDT,VES,Mercantil
2026-08-14T20:44:58.652357,BUY,883.00000000,2.18000000,USDT,VES,Pago Movil
2026-08-14T20:14:58.994480,SELL,879.00000000,997.50000000,USDT,VES,Banesco
2026-08-14T20:14:58.666888,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-14T19:44:58.952110,SELL,880.00000000,1983.14000000,USDT,VES,Mercantil
2026-08-14T19:44:58.627801,BUY,881.50000000,150000.00000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-14T19:41:26.534573,SELL,880.00000000,1983.14000000,USDT,VES,Mercantil
2026-08-14T19:41:26.002408,BUY,881.50000000,150000.00000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-14T16:16:04.129860,SELL,879.20000000,86.97000000,USDT,VES,"Pago Movil, Mercantil, BNC Banco Nacional de Crédito"
2026-08-14T16:16:03.806441,BUY,884.55000000,11370.46000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-14T15:45:04.060851,SELL,879.00000000,59953.16000000,USDT,VES,Mercantil
2026-08-14T15:45:03.751920,BUY,885.00000000,68700.57000000,USDT,VES,"Banco de Venezuela, Bank Transfer"
2026-08-14T15:15:04.153514,SELL,878.24800000,22251.03000000,USDT,VES,Mercantil
2026-08-14T15:15:03.830248,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-14T14:45:04.034944,SELL,876.50000000,309.22000000,USDT,VES,Banesco
2026-08-14T14:45:03.725795,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
2026-08-14T14:15:04.431021,SELL,874.00000000,454.44000000,USDT,VES,Banesco
2026-08-14T14:15:04.126332,BUY,881.00000000,2000.00000000,USDT,VES,"Bank Transfer, Banco de Venezuela, R4 Banco Microfinanciero"
